Référence Article;Désignation Article;Ar Nomencl;Code - Intitulé Famille;Qté Vendues;PU;Chiffre d'affaires HT;Marge (%);Prix Revient Total;Marge
60625-67;EMPL. SCHRAD+162-325X1030;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;3;1881,16;5643,48;26,77;4132,94;1510,54
60626-67;EMPLAT.SCHRAD+165-330X420;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;1;840,46;840,46;26,71;615,98;224,48
60627-67;EMPLAT.SCHRAD+168-350X760;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;2;1385,28;2770,56;27,04;2021,3;749,26
60628-67;EMPLAT.SCHRAD+175-450X530;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;1;1721,59;1721,59;30,6;1194,78;526,81
60.644-1188-D;Elément Séparateur / Separator element - 3004865 in accord. with EI-1;0;AVIFILACCE - Accessoire Avifil;2;13900;27800;32,56;18749,68;9050,32
60651-67;EMPLATRE SD3 ;0;SCHRADMAPR - PDR Schrader;1 806;31,83;57479;49,38;29096,48;28382,52
60652-67;EMPLATRE SD4 ;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;1 252;51,12;63996;52,53;30378,68;33617,32
60653-67;EMPLATRE SD5;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;502;69,8;35040;38,81;21440,45;13599,55
60655-67;EMPLATRE SD6;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;40;140;5600;37,2;3517,04;2082,96
60657-67;EMPLATRE SD7;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;14;208;2912;29,64;2048,92;863,08
60685-67;EMPLAT.DIAG.SDO+054+500MM;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;1;1660;1660;23,31;1273,09;386,91
60687-67;EMPLAT.DIAG.SDO+056+660MM;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;1;1924,31;1924,31;12,41;1685,54;238,77
60700-67;PIECE DE REPARATION BOITE DE 100 35mm EMP 66200-67;0;SCHRADMAPR - PDR Schrader;8;164,38;1315;44,43;730,81;584,19
60701-67;PIECE DE REPARATION BOITE DE 50 45mm;0;SCHRADMAPR - PDR Schrader;8;150;1200;44,75;663,04;536,96
60710-67;COLLE POUR TUBE PNEU;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;113;84,09;9502;34,43;6230,91;3271,09
60712-67;COLLE A EMPLATRE;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;129;216,91;27980,84;43,93;15689,48;12291,36
60733-67;GOMME DE LIAISON A CHAUD 5KGS;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;2;1088,65;2177,3;28,09;1565,78;611,52
60740-67;CORDON GOMME D=8MM 6KG;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;3;1287;3861;17,8;3173,64;687,36
60741-67;CORDON GOMME D=8MM 12KG;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;4;2426,47;9705,88;32,86;6516,42;3189,46
60884-67;BROSSE COMPL D=55 EP.8 T6;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;2;150;300;61,31;116,08;183,92
60940;CLAPET;0;AROACCEPDR - divers PDR;3;1250;3750;31,46;2570,26;1179,74
60M12S;POMPE A ROTOR EXCENTRE MONTAGE MONOBLOC;0;PCMPOMPEQ - Pompe PCM;2;103500;207000;33,12;138432,1;68567,9
60MVA12FF;POMPE A ROTOR EXCENTRE EcoMoineau MVAFF;0;PCMPOMPEQ - Pompe PCM;2;136000;272000;33,28;181472,31;90527,69
61181;PIPE DE GONFLAGE;0;SCHRADGONF - GONFLAGE SCHRADER;14;180;2520;50,67;1243,14;1276,86
61190-63;ETUI 24 PRP6;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;16;235,31;3765;21,38;2960;805
61191-63;ETUI 24 PRP10;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;16;301,69;4827;38,46;2970,47;1856,53
61227-67;BOITES DE 12 CRAIES BLANCHES D=14;0;SCHRADEQGA - EQPTS DE GARAGE SCHRADER;3;110;330;44,48;183,21;146,79
61308-67;KIT DE SERTISSAGE;0;SCHRADGONF - GONFLAGE SCHRADER;1;900;900;52,04;431,67;468,33
61362-67;BARJUNKY 2 (25'' TO 35'') REMPLACE LA REF. 66705-67;0;SCHRADEQGA - EQPTS DE GARAGE SCHRADER;1;46800;46800;44,47;25985,77;20814,23
61393-67;DISSO BLACKHOT (24.5kg);0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;2;991,45;1982,9;29,98;1388,38;594,52
6146;CHAPE DE TIGE SG-M16X1.5;0;ISTOBTUN - ISTOBAL TUNNEL DE LAVAGE;1;250;250;35,6;161;89
61508-67;Craie Jaune;0;GLYNTUAYUT - TUYAUTERIE GLYNWED;4;140;560;50,73;275,92;284,08
61EP0002;Presseur Switch for LPG Compressor suction FPH 60 KX Ex ed;0;KROCHDIVPR - Divers PDR;1;20016,8;20016,8;36,39;12732,83;7283,97
61EP0006;Pressure Switch for LPG Compressor discharge FP 60 QX EXed;0;KROCHDIVPR - Divers PDR;1;20016,8;20016,8;36,39;12732,83;7283,97
62095;POMPE A GRAISSE 200KG RAASM;0;RAASMSERVE - Equipement;18;2722,22;49000;42,15;28346,56;20653,44
62095CPL;SURPRESSEUR A GRAISSE 200KG COMPLET;2;RAASMSERVE - Equipement;2;4000;8000;48,28;4137,47;3862,53
6209LLC3;RTS A BILLE NTN 6209LLUC3/5K;0;ROULEMENT - ROULEMENT;2;0;0;#DIV/0;173,56;-173,56
624202/05;"FLEXIBLE GASOIL  LONG:5M M-M 1""";0;FLEXIBLE - FLEXIBLES LOCAUX;6;795;4770;26,62;3500;1270
63032RSC3;ROULEMENT A BILLES;0;ROULEMENT - ROULEMENT;2;0;0;#DIV/0;-210;210
630343;BOUCHON PLAST. JAUNE DIAM 114.3;0;PEROLOTODE - Equipement;15;15,93;239;-71,51;409,92;-170,92
6304-2RS;ROULEMENT D4;0;ROULEMENT - ROULEMENT;5;416;2080;91,02;186,81;1893,19
6307-2RS-C3;ROULEMENT 6108;0;ROULEMENT - ROULEMENT;9;119,33;1074;33,99;709;365
6307ZZ;ROULEMENT 6108;0;ROULEMENT - ROULEMENT;2;120;240;41,6;140,16;99,84
6309-2Z/C3;ROULEMENT 6309 ZZ C3 SKF;0;ROULEMENT - ROULEMENT;1;450;450;62,22;170;280
63095;POMPE GRAISSE P = 940mm R=65 :1;0;RAASMSERVE - Equipement;2;4500;9000;46,8;4788,41;4211,59
6310-2Z/C3;ROULEMENT 6310 2Z C3 FAG;0;ROULEMENT - ROULEMENT;1;600;600;64,28;214,32;385,68
6311ZZC3;ROULEMENT A BILLE NTN 6311ZZC3;0;SIHIPOMPDR - PDR Sihi;2;600;1200;63,7;435,62;764,38
635190-3;COMPTEUR TOTALISATEUR;0;AROCOMPTEQ - Compteur ARO;3;1560;4680;-101,78;9443,31;-4763,31
637118-C;"KIT MOTEUR D'AIR 1""";0;AROPAMPDR - PDR Pompe à membranes ARO;7;825,71;5780;34,12;3807,72;1972,28
637119-44-C;"KIT MEMBRANES 1""TEFLON";0;AROPAMPDR - PDR Pompe à membranes ARO;10;4504;45040;30,16;31454,27;13585,73
637119-EB-C;"KIT PRODUIT - ""POMPE 1'' ALU-";0;AROPAMPDR - PDR Pompe à membranes ARO;1;2400;2400;45,21;1314,95;1085,05
637140-D2;KIT MEMBRANE BEC DE CANARD;0;AROPAMPDR - PDR Pompe à membranes ARO;5;2060;10300;36,44;6546,38;3753,62
637140-EB;KIT MEMBRANES 1/2 SANTOPR;0;AROPAMPDR - PDR Pompe à membranes ARO;5;1375;6875;28,01;4949,6;1925,4
637141;KIT MOTEUR PPE 1/2;0;AROPAMPDR - PDR Pompe à membranes ARO;4;1200;4800;33,5;3191,84;1608,16
637161-44-C;KIT POUR POMPE 6661A3-344-C;0;AROPAMPDR - PDR Pompe à membranes ARO;2;8000;16000;8,43;14651,92;1348,08
637227-B;KIT SERVICE POUR POMPE LM2350;0;AROPISTOPR - PDR Pistolet ARO;3;2533,33;7600;30,41;5288,88;2311,12
637303-AA;"KIT FLUIDE 3"" SANTOPRENE EXPERT";0;AROPAMPDR - PDR Pompe à membranes ARO;8;5787,5;46300;50,63;22856,62;23443,38
637303-GG;KIT PRODUIT POUR PD30 NITRILE;0;AROPAMPDR - PDR Pompe à membranes ARO;3;3836,67;11510;34,56;7531,76;3978,24
637303-TT;KIT MEMBRANE PD30 TEFLON 3'';0;AROPAMPDR - PDR Pompe à membranes ARO;2;13775;27550;26,67;20203,42;7346,58
637309-AA;KIT DE MEMBRANE 2'';0;AROPAMPDR - PDR Pompe à membranes ARO;3;4953,33;14860;50,98;7284,73;7575,27
637369;AIR REPAIR KIT;0;AROPAMPDR - PDR Pompe à membranes ARO;4;2850;11400;-37,43;15667,27;-4267,27
637375-AA;KIT MEMBRANE SANTOPRENE;0;AROPAMPDR - PDR Pompe à membranes ARO;14;2925,71;40960;46,48;21920,31;19039,69
637375-AAA;KIT MEMBRANE SANTOPRENE POUR PD15;0;AROPAMPDR - PDR Pompe à membranes ARO;4;2900;11600;17,01;9626,95;1973,05
637396-TT;KIT MEMBRANE;0;AROPAMPDR - PDR Pompe à membranes ARO;1;5100;5100;37,53;3185,91;1914,09
637421;KIT MOTEUR AIR SERIE EXPERT;0;AROPAMPDR - PDR Pompe à membranes ARO;12;3023,33;36280;55,67;16081,29;20198,71
637427-TT; KIT FLUIDE PTFE PD05 1/2 TEFLON;0;AROPAMPDR - PDR Pompe à membranes ARO;6;2700;16200;33,99;10693,34;5506,66
637432-44;"KIT FLUID PRO 2"" PTFE ";0;AROPAMPDR - PDR Pompe à membranes ARO;5;6811;34055;-22,35;41665,67;-7610,67
637432-EB;"KIT MEMBRANE PRO SANTOPRENE 2""";0;AROPAMPDR - PDR Pompe à membranes ARO;1;3200;3200;48,3;1654,41;1545,59
637433-44;KIT MEMBRANE 3'' TEFLON;0;AROPAMPDR - PDR Pompe à membranes ARO;2;9050;18100;-47,04;26614,6;-8514,6
637433-EB;"KIT MEMBRANE PRO SANTOPRENE 3""";0;AROPAMPDR - PDR Pompe à membranes ARO;5;3838;19190;16,3;16062,75;3127,25
637434;"KIT AIR 3""+2"" PRO";0;AROPAMPDR - PDR Pompe à membranes ARO;15;1012,33;15185;28,9;10796,18;4388,82
637489;KIT SERVICE FOR AIR MOTORS ARO 4-1/4;0;AROPAMPDR - PDR Pompe à membranes ARO;1;5000;5000;23,36;3832,18;1167,82
64035;KIT POMPE A GRAISSE RAASM 25KG;0;RAASMSERVE - Equipement;9;3941,11;35470;33,94;23431,25;12038,75
64195;DISTRIBUTEUR A GRAISSE 200 KGS COMLPET SANS CHARIOT;0;RAASMSERVE - Equipement;52;4542,23;236196;26,23;174230,41;61965,59
64195/CHARIOT;DISTRIBUTEUR A GRAISSE 200KG AVEC CHARIOT MOBILE;2;RAASMSERVE - Equipement;11;6863,64;75500;31,95;51375,23;24124,77
64195ENRL;DISTRIBUTEUR A GRAISSE 200KG  AVEC ENROULEUR;2;RAASMSERVE - Equipement;14;7971,43;111600;27,82;80555,07;31044,93
649760;GARNITURE BLOCK PTFE/BUNA 3'';0;PEROLOBRAP - PDR Bras de chargement;31;1378,34;42728,66;47,64;22370,62;20358,04
65086-68;EMBOUT RAPIDE;0;SCHRADGONF - GONFLAGE SCHRADER;2;40;80;60,26;31,79;48,21
650889-68;"EMBOUT FIL 1/4""  65089-67";0;SCHRADMAPR - PDR Schrader;10;35;350;58,86;144;206
65098-67;SOUFFLETTE;0;SCHRADVACA - VALVE ET CAPTEUR SCHRADER;9;350;3150;42,95;1797,08;1352,92
65101-67;TUYAU SPIRALE 6.5X10 L= 8M;0;SCHRADBORN - BORNE DE GONFLAGE;8;1295;10360;54,68;4694,75;5665,25
651124;CONTACTEUR BRAS DE CHARGEMENT;0;PEROLOBRAP - PDR Bras de chargement;6;3220;19320;-10,95;21435,35;-2115,35
651899;VERIN A GAZ ACIER INOXYDABLE TYPE D9 F45-140-410 2500N;0;PEROLOBRAP - PDR Bras de chargement;2;7050;14100;30,64;9779,08;4320,92
652054;VERIN BRAS GAZ 1300N;0;PEROLOBRAP - PDR Bras de chargement;1;4900;4900;31,38;3362,56;1537,44
652719;VANNE FIAB POUR BRAS 4'';0;PEROLOBRAP - PDR Bras de chargement;2;23540;47080;28,82;33510,3;13569,7
65290/15-231;ACCESSOIRE OUTIL VISSER ET DIVISSER PNEUMATIQUE;2;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;1;350;350;62,62;130,83;219,17
65290-67;DEVISSE MECANIQUE;0;SCHRADEQGA - EQPTS DE GARAGE SCHRADER;77;43,25;3330;77,72;741,97;2588,03
653104;"KIT 3EME NIVEAU 2"" ET 3""";0;PEROLOBRAP - PDR Bras de chargement;2;2500;5000;47,47;2626,41;2373,59
653106;"KIT ERS FEP 2"" ET 3""";0;PEROLOBRAP - PDR Bras de chargement;2;3300;6600;55,39;2944,52;3655,48
653-40507-111;RESSORT POUR CLAPET HYDRAULIQUE 2'';0;WARTSDIVPR - Divers PDR;1;350;350;36,15;223,47;126,53
65359-67;JOINT TORIQUE R-1438;0;SCHRADMEBO - MECANISME ET BOUCHON SCHRADER;65;100;6500;18,48;5299,08;1200,92
65362-67;JOINT DE JANTE GC 33'' DIAM DU JOINT 3/8'';0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;15;160;2400;53,08;1126,14;1273,86
65367-67;JOINT DE JANTE GC 57'' DIAM DU JOINT 1/2'';0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;316;385,44;121800;42,84;69621,35;52178,65
653-87999-111;RESSORT POUR CLAPET HYDRAULIQUE 14'';0;WARTSDIVPR - Divers PDR;1;9600;9600;33,07;6425,62;3174,38
654076;VERIN A GAZ POUR BRAS LIQUIDE ET BRAS GAZ 1300N;0;PEROLOBRAP - PDR Bras de chargement;8;6978;55824;29,68;39255,92;16568,08
654076G;VERING A GAZ 1300N;0;PEROLOBRAP - PDR Bras de chargement;1;7100;7100;100;0;7100
654084;VERIN GAZ 1300N;0;PEROLOBRAP - PDR Bras de chargement;10;3568,06;35680,6;67,6;11559,66;24120,94
65410-67;KIT REPARATION TUBELESS;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;3;780;2340;67,99;748,92;1591,08
65431-99;POMPE HYDRO PNEU 700BARS;0;SCHRADEQGA - EQPTS DE GARAGE SCHRADER;1;13000;13000;36,29;8281,86;4718,14
65491-67;EMBOUT RAPIDE;0;SCHRADGONF - GONFLAGE SCHRADER;3;180;540;42,17;312,28;227,72
65591-67;ADAPTEUR M.1/4G - M.1/4G;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;12;390;4680;48,73;2399,64;2280,36
65663-67;"RALONGE 1""";0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;3;680;2040;52,24;974,4;1065,6
658012-A;Module roulement D2000 AC 3'';0;PEROLOBRAP - PDR Bras de chargement;21;8691;182511;37,55;113982,2;68528,8
658174E;DISPOSITIF D'EQUILIBRAGE COMPLET;0;PEROLOBRAP - PDR Bras de chargement;0;#DIV/0;0;#DIV/0;0,01;-0,01
658175E;DISPOSITIF D'EQUILIBRAGE COMPLET;0;PEROLOBRAP - PDR Bras de chargement;4;17000;68000;42,39;39177,16;28822,84
658444;BOUCHON ANTI POUSSIERE 260-121;0;PEROLOBRAP - PDR Bras de chargement;11;0;0;#DIV/0;385;-385
65912-69;INDICATEUR DESSERRAGE;0;SCHRADEQGA - EQPTS DE GARAGE SCHRADER;100;3,8;380;37,63;237;143
65949-67;CREME POUR PNEUS PT 5KGS;0;SCHRADEQGA - EQPTS DE GARAGE SCHRADER;42;147,14;6180;31,05;4261,05;1918,95
66017-97;REPOUSSEUR SHUTTLE-T;0;SCHRADEQGA - EQPTS DE GARAGE SCHRADER;5;20400;102000;51,11;49867,76;52132,24
66189-67;CAPTEUR MONTE SUR PATCH;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;720;1665;1198800;25,36;894732,74;304067,26
66210-67;DISSO BLECK CEMENT 945 ML;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;1;0;0;#DIV/0;173,69;-173,69
66221-67;SR EMPLATRES POUR PNEUS SR112;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;123;27,6;3395;55,42;1513,36;1881,64
66223-67;SR EMPLATRES POUR PNEUS SR115;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;60;21,5;1290;46,2;694,06;595,94
66227-67;SR EMPLATRES POUR PNEUS SR125;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;20;80;1600;100;0;1600
66230-67;SR EMPLATRES POUR PNEUS SR135;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;60;79;4740;26,64;3477,27;1262,73
66265-67;ETUI D 80MM;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;42;178,57;7500;-5,01;7875,5;-375,5
66266-67;ETUI D 94MM;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;40;115;4600;-13,84;5236,56;-636,56
66267-67;PIECE TIP TOP N°6;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;49;134,08;6570;-26,64;8319,98;-1749,98
66281-67;EMPLATRE SD2 70X70;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;20;12,5;250;39,68;150,8;99,2
66333-67;EMPLATRES TL 114 75*145;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;10;28;280;48,24;144,94;135,06
66334-67;EMPLATRES TL 120 75*125;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;18;34;612;48,11;317,59;294,41
66335-67;EMPLATRES TL 122 75*165;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;10;46;460;48,38;237,45;222,55
66336-67;EMPLATRES TL 124 75*215;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;50;49,2;2460;47,22;1298,45;1161,55
66337-67;EMPLATRES TL 126 75*250;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;10;60;600;51,28;292,35;307,65
66338-67;EMPLATRES TL 125 100*125;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;107;42,22;4518;45,48;2463,36;2054,64
66340-67;EMPLATRES TL 135 125*170;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;33;86,52;2855;41,58;1667,8;1187,2
66341-67;EMPLATRES TL 140 100*200;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;20;54,75;1095;44,25;610,46;484,54
66590;PLATEAU SUIVEUR;0;RAASMSERVE - Equipement;1;670;670;46,02;361,69;308,31
66605J-322;POMPE A MEMBRANE 1/2;0;AROPAMEQ - Pompe à membranes ARO;3;3900;11700;15,6;9875,05;1824,95
66605J322ENTIGEL;POMPE A MEMBRANE 1/2 POUR ANTIGEL ;2;CHARIOT - CHARIOT SIATRA;3;8333,33;25000;30,55;17361,83;7638,17
66605J-344;POMPE A MEMBRANE 1/2'' POLYPRO/TEFLON;0;AROPAMEQ - Pompe à membranes ARO;31;6211,29;192550;38,4;118612,15;73937,85
66605J-344/ANTIGEL;KIT COMPLET ANTIGEL PNEUMATIQUE AVEC PISTOLET ;2;CHARIOT - CHARIOT SIATRA;4;10110;40440;35,87;25934,76;14505,24
66605J-344/REG;POMPE A MEMBRANE 1/2 TEFLON AVEC REGULATEUR ET REDUCTION 1/2A3/8;2;AROPAMEQ - Pompe à membranes ARO;1;8200;8200;55,49;3649,77;4550,23
66605J-3EB;" POMPE A MEMBRANE 1/2"" SANTOPRENE";0;AROPAMEQ - Pompe à membranes ARO;65;4612,98;299844;31,17;206374,38;93469,62
66605J-3EB/ADBANTG;KIT COMPLET ANTIGEL PNEUMATIQUE AVEC FLEXIBLE ASP/REF ET  PISTOLET ;2;CHARIOT - CHARIOT SIATRA;5;6920;34600;24,55;26106,34;8493,66
66605J-3EB/ADBFLEX;KIT COMPLET ADBLUE PNEUMATIQUE AVEC FLEXIBLE AS/REF;2;CHARIOT - CHARIOT SIATRA;1;4600;4600;24,34;3480,55;1119,45
66605J-3EB/ADBL/R;KIT ADBLUE PNEUMATIQUE AV PISTOLET FLEXIBLE AS/REF ET REGULATEUR;2;CHARIOT - CHARIOT SIATRA;6;8350;50100;13,68;43246,47;6853,53
66605J-3EB/ADBLUE;KIT COMPLET ADBLUE PNEUMATIQUE AVEC PISTOLET  ENROULEUR ET CHARIOT;2;CHARIOT - CHARIOT SIATRA;15;8191;122865;11,87;108283,31;14581,69
66605J-3EB/ANTIGEL;KIT COMPLET ANTIGEL PNEUMATIQUE AVEC ENROULEUR;2;CHARIOT - CHARIOT SIATRA;2;8350;16700;11,57;14767,04;1932,96
66605J-3EB/ANTIG/R;KIT ANTIGEL PNEUMATIQUE AVEC FLEXIBLE ASPI/ REF ET REGULATEUR1/4;2;AROPAMEQ - Pompe à membranes ARO;8;8393,75;67150;21,62;52634,12;14515,88
66605J-3EBANTS.ENR;KIT COMPLET ANTIGEL PNEUMATIQUE SANS ENROULEUR;2;CHARIOT - CHARIOT SIATRA;1;6800;6800;29,11;4820,68;1979,32
66605J-3EB/PIST;POMPE A MEMBRANE 1/2 POUR ANTIGEL AV PISTOLET;2;AROPAMEQ - Pompe à membranes ARO;1;6800;6800;25,14;5090,8;1709,2
666120-322-C;"POMPE A MEMBRANE 1"" NEOPRENE";0;AROPAMEQ - Pompe à membranes ARO;34;6514,35;221488;33,92;146357,5;75130,5
666120-322-C/COLL;"POMPE A MEMBRANE 1"" AV COLLIER ET CANNE";2;CHARIOT - CHARIOT SIATRA;4;7000;28000;30,68;19408,87;8591,13
666120-322-REG;"POMPE A MEMBRANE 1""AVEC REGULATEUR 1/4";2;CHARIOT - CHARIOT SIATRA;6;6441,67;38650;32,63;26039,27;12610,73
666120-344-C;"POMPE A MEMBRANE 1"" CORPS ALU MEMBRANES ET CLAPETS TEFLON";0;AROPAMEQ - Pompe à membranes ARO;36;8576,11;308740;29,86;216564,62;92175,38
666120-344-C/REGUL;"POMPE A MEMBRANE 1"" CORPS ALU MEMBRANE EN TEFLON AV REGULATEUR";2;CHARIOT - CHARIOT SIATRA;2;8570;17140;29,55;12074,73;5065,27
666120-344/KIT;"POMPE A MEMBRANE 1"" ALU AVEC KIT MEMBRANE";2;CHARIOT - CHARIOT SIATRA;1;13580;13580;35,91;8702,96;4877,04
66618-67;RACCORD RAPIDE;0;SCHRADGONF - GONFLAGE SCHRADER;1;400;400;35,13;259,48;140,52
66619-67;EMBOUT RAPIDE;0;SCHRADGONF - GONFLAGE SCHRADER;1;150;150;36,83;94,75;55,25
6661A3-344C;"POMPE A MEMBRANE CORPS POLYPRO 1"" PTFE ";0;AROPAMEQ - Pompe à membranes ARO;11;7931,82;87250;31,31;59933,05;27316,95
6661A3-344C/REGUL;POMPE A MEMBRANE AV REGULATEUR;2;CHARIOT - CHARIOT SIATRA;2;8200;16400;31,73;11197,06;5202,94
6661A3-3EBC;POMPE A MEMBRANE CORPS POLYPRO 1'';0;AROPAMEQ - Pompe à membranes ARO;6;7416,67;44500;32,77;29916,33;14583,67
666270-144-C;"POMPE A MEMBRANE 2"" ALUMINIUM TEFLON ";0;AROPAMEQ - Pompe à membranes ARO;70;14750,71;1032550;30,12;721577,2;310972,8
666270-144/CPL;"POMPE A MEMBRANE 2"" ARO TEFLON AV REGULATEUR 3/4 ET FLEXIBLE ASP  REF";2;CHARIOT - CHARIOT SIATRA;1;24310;24310;33,44;16180,22;8129,78
666270-EEB-C;"POMPE A MEMBRANE 2""CORPS EN ALU  SANTOPRENE";0;AROPAMEQ - Pompe à membranes ARO;25;13092;327300;35,52;211033,9;116266,1
6662A3-344C;"POMPE A DOUBLE MEMBRANE 2"" ";0;AROPAMEQ - Pompe à membranes ARO;1;40500;40500;32,21;27456,76;13043,24
666320-144-C;POMPE A MEMBRANE 3'' TEFLON;0;AROPAMEQ - Pompe à membranes ARO;4;26250;105000;30,03;73465,64;31534,36
666320-EEB-C;POMPE A MEMBRANE 3 CORPS ALU;0;AROPAMEQ - Pompe à membranes ARO;17;16247,06;276200;29,42;194931;81269
66663;ARTICULATION TRIPLE MF1/4;0;RAASMSERVE - Equipement;5;250;1250;50,16;622,95;627,05
66781-67;EMBASE;0;SCHRADGONF - GONFLAGE SCHRADER;25;250;6250;60,26;2483,56;3766,44
66782-67;EMBASE;0;SCHRADGONF - GONFLAGE SCHRADER;64;284,06;18180;53,03;8539,34;9640,66
66786-67;COUDE 90°;0;SCHRADGONF - GONFLAGE SCHRADER;157;462,74;72650;58,63;30054,2;42595,8
66787-67;COURONNE DE TUYAU 12.7M;0;SCHRADGONF - GONFLAGE SCHRADER;7;5000;35000;49;17850,65;17149,35
66788-67;KIT D'ASSEMBLAGE VALVE;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;130;872,69;113450;49,12;57727,29;55722,71
66814-67;EMBOUT RAPIDE;0;SCHRADGONF - GONFLAGE SCHRADER;4;90;360;38,65;220,87;139,13
66886-67;MASSE ADHESIVES 60G PAQUET DE 50;0;SCHRADEQGA - EQPTS DE GARAGE SCHRADER;10;90;900;2,79;874,9;25,1
66888;PISTOLET A GRAISSE;0;RAASMSERVE - Equipement;65;468,41;30446,53;34,49;19946,6;10499,93
66889RAC;PISTOLET DE DISTRIBUTION DE GRAISSE EQ 66889;2;RAASMSERVE - Equipement;19;582,63;11070;28,58;7906,49;3163,51
67077-67;JAUGE DE PROFONDEUR GC;0;SCHRADGONF - GONFLAGE SCHRADER;9;1788,89;16100;42,99;9179,24;6920,76
672025;KIT DE TRANSFORMATION;0;PEROLOBRAP - PDR Bras de chargement;10;5995;59950;35,45;38698,57;21251,43
672869;KIT J0452 SHAFT;0;PEROLOBRAP - PDR Bras de chargement;4;600;2400;30,78;1661,37;738,63
673294;KIT BAGUE DE NEZ POUR COUPLEUR J0452;0;PEROLOBRAP - PDR Bras de chargement;4;1950;7800;20,64;6189,77;1610,23
67370-67MACH;MACHINE VULCANISATION VSM200;2;SCHRADGONF - GONFLAGE SCHRADER;1;180000;180000;42,41;103662,89;76337,11
67389;"SILENCIEUX POMPE A MEMBRANE 2""ET 3""";0;AROPAMPDR - PDR Pompe à membranes ARO;6;1137,5;6825;34,24;4488,29;2336,71
674227;KIT SOUPAPE /BAGUE PORTE VITON;0;PEROLOBRAP - PDR Bras de chargement;2;1325;2650;-37,6;3646,48;-996,48
674270;KIT POUSSOIR DE SOUPAPE;0;PEROLOBRAP - PDR Bras de chargement;10;669;6690;31,51;4582,21;2107,79
675912;KIT J0452 LEVER SHORT;0;PEROLOBRAP - PDR Bras de chargement;2;1700;3400;23,09;2614,95;785,05
6759500600-2;JOINT TORIQUE D'ETANCHEITE SOUPAPE;0;PEROLOBRAP - PDR Bras de chargement;10;53;530;37,94;328,92;201,08
676629;KIT JOINT COUPLEUR J0451;0;PEROLOBRAP - PDR Bras de chargement;26;2628,85;68350;53,91;31499,3;36850,7
6803;ROULEMENT A BILLES;0;ROULEMENT - ROULEMENT;1;71,89;71,89;-4,33;75;-3,11
691-107L;GROUPE DE COMPRESSION POUR GPL;0;KROCHCOMPR - KROCH COMPRESSEURS;5;539612;2698060;9,67;2437193,91;260866,09
6ED1055-4MH08-0BA1;LOGO! TD 6 lignes, 3 couleurs d'arrière-plan, 2 ports Ethernet;0;ELECTRICIT - FOURNITURE ELEC.;1;1700;1700;25,29;1270;430
